Travis Kelce asked if he's 'in love' with Taylor Swift, addresses relationship 'status'	Travis Kelce and Taylor Swift are all but officially official, which prompted a reporter in Germany to ask the Chiefs star if he's "in love."	Fox News
New Jersey governor spent $12K on stadium events, including a Taylor Swift concert	Politico reports New Jersey Gov. Phil Murphy tapped into a taxpayer-financed expense account for nearly $12,000 at MetLife Stadium, including almost $1,000 for a Taylor Swift concert in 2018	ABC News
From country to pop, 2014 nostalgia to 2023 reality — it's time for Taylor Swift's '1989'	Taylor Swift’s reimagined “1989” is here, the album that ushered in the first Peak Swift era — revisited at the height of her massive pop culture dominance	ABC News
Taylor Swift’s ‘All You Had To Do Was Stay’ Is Criminally Underrated	It's time to reassess the track from Taylor Swift's 1989, which is set to be rereleased on Oct. 27.	Time
Report: Taylor Swift hosted watch party for Chiefs significant others Sunday	Taylor Swift reportedly hosted a watch party to root on rumored boyfriend Travis Kelce as the Chiefs took on the Dolphins in Germany last Sunday.	Fox Sports
A Taylor Swift song is the best investment advice for 2024, Goldman Sachs says	This isn't the first time Taylor Swift has occupied the head space of Wall Street forecasters and economists this year.	Business Insider
Billboard Music Awards 2023: Full winners list	Country titans Morgan Wallen and Taylor Swift dominated the Billboard Music Awards with a string of wins, including top artist and top Hot 100 artist.	USA Today
Taylor Swift sports Travis Kelce's football jersey number on friendship bracelet at Chiefs game	Taylor Swift showed NFL fans how to support a player by wearing Travis Kelce's football jersey number on a friendship bracelet while watching Chiefs game.	Fox News
Travis Kelce dazzled in Week 7. Is he 'showing off' for Taylor Swift?	Travis Kelce had a huge 179-yard performance in Week 7, making some NFL fans wonder if he's "showing off" for Taylor Swift. And maybe that's a good thing.	Fox Sports
Taylor Swift embraced by Travis Kelce's Kansas City Chiefs crew: 'She's letting her guard down,' expert says	Taylor Swift has been welcomed like "family" into Travis Kelce's Kansas City Chiefs crew, according to a body language expert who analyzed the pop star's moves with her new friends.	Fox News
Taylor Swift takes in Chargers-Chiefs at Arrowhead in Week 7	Taylor Swift is back at Arrowhead Stadium for the second week in a row to watch the Los Angeles Chargers take on the Kansas City Chiefs.	ESPN
Taylor Swift was the soundtrack to my Killers of the Flower Moon screening	Did you hear Taylor Swift: The Eras Tour while trying to watch Martin Scorsese’s latest movie? You aren’t alone.	Polygon
Travis Kelce issues apology to Taylor Swift's dad Scott after concert flub	Travis Kelce spilled on his trip to Argentina to visit girlfriend Taylor Swift and hilariously apologized to her father, Scott, for an awkward flub he made during the concert.	Fox News
Could Taylor Swift make it to K.C. for Kelce brothers' Super Bowl rematch?	Taylor Swift is currently touring on another continent. Could she make time to jet back to Kansas City for Travis Kelce's big game next week? Here's a breakdown.	Fox Sports
Taylor Swift fans think her grateful message to Buenos Aires used one of Travis Kelce's favorite phrases	Maybe Taylor Swift already has the word “electric” in her vocabulary — heck, she has a song called Electric Touch! — to describe the die-hard crowds during the Eras Tour, bu…	USA Today
Taylor Swift & Brittany Mahomes party before Chiefs game, King Charles' reported control over Harry & Meghan	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.	Fox News
NFL Week 7 top viral moments: LeBron James, Taylor Swift celebrate National Tight Ends Day	There was plenty to buzz about on social media during an action-packed NFL slate. Check out the moments that had the internet talking here!	Fox Sports
Taylor Swift and Travis Kelce relationship works because ‘they’re very supportive of each other,’ his dad says	Taylor Swift will soon release her next re-recorded album, and Travis Kelce's dad will be in line to purchase as he boasted that the "Cruel Summer" singer is "very genuine."	Fox News
Jaylen Waddle on Taylor Swift possibly showing up to Chiefs game in Germany: 'I'm a Swiftie'	Raise your hand if you had Jaylen Waddle as a Taylor Swift fan on your Bingo Card.	USA Today
What to stream this week: '1989 (Taylor’s Version),' Emily Blunt and 'Five Nights at Freddy’s'	This week’s new entertainment releases include Taylor Swift's “1989 (Taylor’s Version),” a glossy look at opioid addiction with the movie “Pain Hustlers” starring Emily Blunt, Chris Evans and Andy Garcia, and the streaming horror flick “Five Nights at ...	ABC News
Chiefs star Travis Kelce dances to Taylor Swift's 'Shake It Off' at World Series game	The Kansas City Chiefs star broke out some dance moves to one of Taylor Swift's hit songs during his appearance at Game 1 of the World Series between the Rangers and Diamondbacks.	Fox News
Taylor Swift and Brittany Mahomes had dinner in NYC with Selena Gomez instead of going to Germany and we get it	Swift didn't make the trip to Europe with the next international leg of The Eras Tour starting soon.	USA Today
Taylor Swift, Brittany Mahomes show off new handshakes amid monster half for Patrick Mahomes, Travis Kelce	Taylor Swift and Brittany Mahomes, the wife of star quarterback Patrick Mahomes, showcased their new touchdown handshake as their budding friendship continues.	Fox News
36 Incredible Products I Think About Even More Than Taylor Swift And Travis Kelce (And I Think About Them A *Lot*)	I look at this $5 holy grail mascara the same way Trav looks at Taylor.View Entire Post ›	Buzzfeed
Taylor Swift, Patrick Mahomes' Wife Photos Mocked	The pop star and her new friend have once again found themselves being targeted by cruel trolls online.	Newsweek
Taylor Swift's Argentina concert takes political turn as presidential election nears	Politics was suddenly a topic of conversation as thousands of Taylor Swift fans eagerly lined up for the superstar’s first-ever concert in Argentina	ABC News
Get Your Parkas Ready For December 2024 – Canadian Swifties Haven't Been Able To Focus Since Taylor Swift JUST Announced Three New Concert Dates	Step 1) Register for Verified Fan Presale on Ticketmaster. Step 2) Look at flights to Vancouver.View Entire Post ›	Buzzfeed
Taylor Swift & Brittany Mahomes party before Chiefs game, King Charles' reported control over Harry & Meghan	The Fox News Entertainment newsletter brings you the latest Hollywood headlines, celebrity interviews and stories from Los Angeles and beyond.	Fox News
Patrick Mahomes says he’s worn the same pair of underwear every game since his first NFL season	Travis Kelce spent the Kansas City Chiefs’ bye week carousing through South America with Taylor Swift.	NBC News
Classes on celebrities like Taylor Swift and Rick Ross are engaging a new generation of law students	A South Dakota law professor who typically teaches torts and natural resources is turning his attention to Taylor Swift next semester	ABC News
Chiefs star Travis Kelce dances to Taylor Swift's 'Shake It Off' at World Series game	The Kansas City Chiefs star broke out some dance moves to one of Taylor Swift's hit songs during his appearance at Game 1 of the World Series between the Rangers and Diamondbacks.	Fox News
Israel Asks Taylor Swift for Help	While pop star Swift has not yet publicly weighed in on the Israeli-Palestinian conflict, she has been asked by officials for help.	Newsweek
Travis Kelce knows his stats are better when Taylor Swift attends his games	"How could I not be aware of this?"	USA Today
Travis Kelce's Stylist Responds to Taylor Swift Wardrobe Conspiracies	The Kansas City Chiefs star has worn clothes that look like Easter Eggs for Swift's fans. Were the nods to Swift's work intentional?	Newsweek
Taylor Swift returns to Arrowhead stadium to cheer on Travis Kelce	This is the fifth time Swift has been seen cheering on Kansas Chiefs tight end Travis Kelce and the defending Super Bowl champions.	CBS News
Taylor Swift and Jack Antonoff celebrate 'Cruel Summer' hitting No. 1 four years after initial release	Taylor Swift's latest milestone feels like a complete "fever dream." On Monday, the singer and her collaborator Jack Antonoff celebrated their co-written song "Cruel Summer," from the singer's 2019 album "Lover," hitting No. 1 on Billboard's Hot 100 chart.	CNN
